ENFJ,ENFJ,86
ENFJ,ENFP,91
ENFJ,ENTJ,42
ENFJ,ENTP,73
ENFJ,ESFJ,64
ENFJ,ESFP,80
ENFJ,ESTJ,22
ENFJ,ESTP,41
ENFJ,INFJ,74
ENFJ,INFP,73
ENFJ,INTJ,16
ENFJ,INTP,35
ENFJ,ISFJ,30
ENFJ,ISFP,40
ENFJ,ISTJ,18
ENFJ,ISTP,9
ENFP,ENFJ,91
ENFP,ENFP,97
ENFP,ENTJ,37
ENFP,ENTP,85
ENFP,ESFJ,42
ENFP,ESFP,93
ENFP,ESTJ,27
ENFP,ESTP,76
ENFP,INFJ,51
ENFP,INFP,73
ENFP,INTJ,13
ENFP,INTP,36
ENFP,ISFJ,11
ENFP,ISFP,49
ENFP,ISTJ,4
ENFP,ISTP,14
ENTJ,ENFJ,42
ENTJ,ENFP,37
ENTJ,ENTJ,91
ENTJ,ENTP,81
ENTJ,ESFJ,53
ENTJ,ESFP,51
ENTJ,ESTJ,87
ENTJ,ESTP,74
ENTJ,INFJ,25
ENTJ,INFP,13
ENTJ,INTJ,46
ENTJ,INTP,47
ENTJ,ISFJ,29
ENTJ,ISFP,6
ENTJ,ISTJ,66
ENTJ,ISTP,41
ENTP,ENFJ,73
ENTP,ENFP,85
ENTP,ENTJ,81
ENTP,ENTP,94
ENTP,ESFJ,32
ENTP,ESFP,87
ENTP,ESTJ,70
ENTP,ESTP,92
ENTP,INFJ,11
ENTP,INFP,35
ENTP,INTJ,22
ENTP,INTP,51
ENTP,ISFJ,5
ENTP,ISFP,14
ENTP,ISTJ,11
ENTP,ISTP,35
ESFJ,ENFJ,64
ESFJ,ENFP,42
ESFJ,ENTJ,53
ESFJ,ENTP,32
ESFJ,ESFJ,94
ESFJ,ESFP,40
ESFJ,ESTJ,77
ESFJ,ESTP,37
ESFJ,INFJ,74
ESFJ,INFP,17
ESFJ,INTJ,32
ESFJ,INTP,5
ESFJ,ISFJ,79
ESFJ,ISFP,57
ESFJ,ISTJ,71
ESFJ,ISTP,19
ESFP,ENFJ,80
ESFP,ENFP,93
ESFP,ENTJ,51
ESFP,ENTP,87
ESFP,ESFJ,40
ESFP,ESFP,70
ESFP,ESTJ,39
ESFP,ESTP,75
ESFP,INFJ,43
ESFP,INFP,58
ESFP,INTJ,22
ESFP,INTP,39
ESFP,ISFJ,12
ESFP,ISFP,58
ESFP,ISTJ,8
ESFP,ISTP,26
ESTJ,ENFJ,22
ESTJ,ENFP,27
